Symbol,Original Name,Hebrew Name,Short Name,Sector,Type,Needs Review
BLSR.TA,Blue Square Real Estate Ltd,Blue Square Real Estate Ltd,,מניות - ישראל,Stock,Yes
BMDX.TA,Biomedix Incubator Ltd,Biomedix Incubator Ltd,,מניות - ישראל,Stock,Yes
BOLT.TA,BioLight Life Sciences Ltd,BioLight Life Sciences Ltd,,מניות - ישראל,Stock,Yes
BONS.TA,Bonus Biogroup,Bonus Biogroup,,מניות - ישראל,Stock,Yes
BOTI.TA,Bonei Hatichon Civil Engineering and Infrastructures Ltd,Bonei Hatichon Civil Engineering and Infrastructures Ltd,Bonei Hatichon Civil Engineeri,מניות - ישראל,Stock,Yes
BRAM.TA,Bram Indus,Bram Indus,,מניות - ישראל,Stock,Yes
BRAN.TA,Baran Group Ltd,Baran Group Ltd,,מניות - ישראל,Stock,Yes
BRIH.TA,Rav Bariach 08 Industries Ltd,Rav Bariach 08 Industries Ltd,,מניות - ישראל,Stock,Yes
BRIL.TA,Brill Shoe Industries Ltd,Brill Shoe Industries Ltd,,מניות - ישראל,Stock,Yes
BRIN.TA,Brainsway Ltd,Brainsway Ltd,,מניות - ישראל,Stock,Yes
BRKT.TA,Bareket Capital Ltd,Bareket Capital Ltd,,מניות - ישראל,Stock,Yes
BRMG.TA,Brimag -L,Brimag -L,,מניות - ישראל,Stock,Yes
BRND.TA,Brand Group (M.G) Ltd,Brand Group (M.G) Ltd,Brand Group,מניות - ישראל,Stock,Yes
BSEN.TA,Bet Shemesh Engines Holdings 1997 Ltd,Bet Shemesh Engines Holdings 1997 Ltd,Bet Shemesh Engines Holdings 1,מניות - ישראל,Stock,Yes
BSP.TA,Black Sea Property PLC Ordinary Shares,Black Sea Property PLC Ordinary Shares,Black Sea Property PLC Ordinar,מניות - ישראל,Stock,Yes
BTX.TA,Lineage Cell Therapeutics Inc,Lineage Cell Therapeutics Inc,,מניות - ישראל,Stock,Yes
BUFT.TA,Buff Technologies Ltd,Buff Technologies Ltd,,מניות - ישראל,Stock,Yes
BVC.TA,Batm Advanced Communications Ltd,Batm Advanced Communications Ltd,Batm Advanced Communications L,מניות - ישראל,Stock,Yes
BVGG.TA,Bait Vegag Real Estate Development Ltd,Bait Vegag Real Estate Development Ltd,Bait Vegag Real Estate Develop,מניות - ישראל,Stock,Yes
BWAY.TA,Brainsway Ltd,Brainsway Ltd,,מניות - ישראל,Stock,Yes
BYAR.TA,B Yair Building Corporation 1988 Ltd,B Yair Building Corporation 1988 Ltd,B Yair Building Corporation 19,מניות - ישראל,Stock,Yes
BYON.TA,Beyon 3D Ltd,Beyon 3D Ltd,,מניות - ישראל,Stock,Yes
BYSD.TA,Bayside Land Corporation Ltd,Bayside Land Corporation Ltd,,מניות - ישראל,Stock,Yes
CAMT.TA,Camtek Ltd,Camtek Ltd,,מניות - ישראל,Stock,Yes
CANF.TA,Can Fite Biopharma Ltd,Can Fite Biopharma Ltd,,מניות - ישראל,Stock,Yes
CAST.TA,Castro,Castro,,מניות - ישראל,Stock,Yes
CBI.TA,Clal Biotechnology Industries Ltd,כלל Biotechnology Industries Ltd,כלל Biotechnology Industries L,מניות - ישראל,Stock,No
CDEV.TA,Cohen Dev,Cohen Dev,,מניות - ישראל,Stock,Yes
CEL.TA,Cellcom Israel Ltd,Cellcom Israel Ltd,,מניות - ישראל,Stock,Yes
CGEN.TA,Compugen,Compugen,,מניות - ישראל,Stock,Yes
CHR.TA,Upsellon Brands Holdings Ltd,Upsellon Brands Holdings Ltd,,מניות - ישראל,Stock,Yes
CISY.TA,C I Systems,C I Systems,,מניות - ישראל,Stock,Yes
CLAB.TA,CompuLab Ltd,CompuLab Ltd,,מניות - ישראל,Stock,Yes
CLBV.TA,Clal Industries and Beverages Ltd,כלל Industries and Beverages Ltd,כלל Industries and Beverages L,מניות - ישראל,Stock,No
CLIS.TA,Clal Insurance Enterprises Holdings Ltd,כלל Insurance Enterprises Holdings Ltd,כלל Insurance Enterprises Hold,ביטוח,Stock,No
CMDR.TA,Computer Direct,Computer Direct,,מניות - ישראל,Stock,Yes
CMER.TA,C. Mer Industries Ltd,C. Mer Industries Ltd,,מניות - ישראל,Stock,Yes
CNTC.TA,Cannabotech Ltd,Cannabotech Ltd,,מניות - ישראל,Stock,Yes
CNZN.TA,Canzon Israel Ltd,Canzon Israel Ltd,,מניות - ישראל,Stock,Yes
CPIA.TA,Cipia Vision Ltd,Cipia Vision Ltd,,מניות - ישראל,Stock,Yes
CPTP.TA,Capital Point,Capital Point,,מניות - ישראל,Stock,Yes
CRML.TA,Carmel Corp Ltd.,Carmel Corp Ltd.,,מניות - ישראל,Stock,Yes
CRMT.TA,Carmit,Carmit,,מניות - ישראל,Stock,Yes
CRSO.TA,Carasso,Carasso,,מניות - ישראל,Stock,Yes
CRSR.TA,Carasso Real Estate Ltd,Carasso Real Estate Ltd,,מניות - ישראל,Stock,Yes
CSURE.TA,Cannassure Therapeutics Ltd,Cannassure Therapeutics Ltd,,מניות - ישראל,Stock,Yes
CTPL1.TA,I.C.P. Israel Citrus Plantations Ltd,I.C.P. Israel Citrus Plantations Ltd,I.C.P. Israel Citrus Plantatio,מניות - ישראל,Stock,Yes
CTPL5.TA,Citrus Plant5-L,Citrus Plant5-L,,מניות - ישראל,Stock,Yes
DANE.TA,Danel (Adir Yeoshua) Ltd,Danel (Adir Yeoshua) Ltd,Danel,מניות - ישראל,Stock,Yes
DANH.TA,Dan Hotels,Dan Hotels,,מניות - ישראל,Stock,Yes
DCI.TA,Direct Capital Investments Ltd,Direct Capital Investments Ltd,,מניות - ישראל,Stock,Yes
DELT.TA,Delta Galil Industries Ltd,Delta Galil Industries Ltd,,מניות - ישראל,Stock,Yes
DIFI.TA,Direct Finance TA,Direct Finance TA,,מניות - ישראל,Stock,Yes
DIMRI.TA,Y.H. Dimri Construction & Development Ltd,Y.H. Dimri Construction & Development Ltd,Y.H. Dimri Construction & Deve,מניות - ישראל,Stock,Yes
DIPL.TA,Diplomat Holdings Ltd,Diplomat Holdings Ltd,,מניות - ישראל,Stock,Yes
DISI.TA,Discount Investment Corp Ltd,דיסקונט Investment Corp Ltd,,מניות - ישראל,Stock,No
DLEA.TA,Delek Automotive Systems Ltd,Delek Automotive Systems Ltd,,מניות - ישראל,Stock,Yes
DLEKG.TA,Delek Group,Delek Group,,מניות - ישראל,Stock,Yes
DLMT.TA,Accel Solutions Group Ltd,Accel Solutions Group Ltd,,מניות - ישראל,Stock,Yes
DLRL.TA,Tomer Energy Royalties (2012) Ltd,Tomer Energy Royalties (2012) Ltd,Tomer Energy Royalties,מניות - ישראל,Stock,Yes
DLTI.TA,Delta Israel Brands Ltd,Delta Israel Brands Ltd,,מניות - ישראל,Stock,Yes
DNA.TA,DNA Biomed Solns,DNA Biomed Solns,,מניות - ישראל,Stock,Yes
DNYA.TA,Danya Cebus,Danya Cebus,,מניות - ישראל,Stock,Yes
DORL.TA,Doral Group Renewable Energy Resources Ltd,Doral Group Renewable Energy Resources Ltd,Doral Group Renewable Energy R,מניות - ישראל,Stock,Yes
DRAL.TA,Dor Alon,Dor Alon,,מניות - ישראל,Stock,Yes
DRSH.TA,Dorsel Holdings Ltd,Dorsel Holdings Ltd,,מניות - ישראל,Stock,Yes
DSCT.TA,Israel Discount Bank Ltd,Israel דיסקונט Bank Ltd,,בנקים,Stock,No
DUNI.TA,Duniec,Duniec,,מניות - ישראל,Stock,Yes
ECNR.TA,Econergy Renewable Energy Ltd,Econergy Renewable Energy Ltd,,מניות - ישראל,Stock,Yes
ECP.TA,Electra Co Pr,Electra Co Pr,,מניות - ישראל,Stock,Yes
EFNC.TA,Erech Finance Cahalacha Ltd,Erech Finance Cahalacha Ltd,,מניות - ישראל,Stock,Yes
ELAD.TA,ELAD SOFTWARE,ELAD SOFTWARE,,מניות - ישראל,Stock,Yes
ELAL.TA,El Al Israel Airlines Ltd,El Al Israel Airlines Ltd,,מניות - ישראל,Stock,Yes
ELAL-W3.TA,El Al Israel Airlines Ltd Warrant,El Al Israel Airlines Ltd Warrant,El Al Israel Airlines Ltd Warr,מניות - ישראל,Stock,Yes
ELCO.TA,Elco Ltd,Elco Ltd,,מניות - ישראל,Stock,Yes
ELCRE.TA,Electra Real Estate Ltd,Electra Real Estate Ltd,,מניות - ישראל,Stock,Yes
ELLO.TA,Ellomay Capital Ltd,Ellomay Capital Ltd,,מניות - ישראל,Stock,Yes
ELMR.TA,El-Mor Electric Installation & Services 1986 Ltd,El-Mor Electric Installation & Services 1986 Ltd,El-Mor Electric Installation &,מניות - ישראל,Stock,Yes
ELRN.TA,Elron Electronic Industries Ltd,Elron Electronic Industries Ltd,Elron Electronic Industries Lt,מניות - ישראל,Stock,Yes
ELSPC.TA,Elspec,Elspec,,מניות - ישראל,Stock,Yes
ELTR.TA,Electra Ltd,Electra Ltd,,מניות - ישראל,Stock,Yes
ELWS.TA,Electreon Wireless Ltd,Electreon Wireless Ltd,,מניות - ישראל,Stock,Yes
EMCO.TA,E & M Computing Ltd,E & M Computing Ltd,,מניות - ישראל,Stock,Yes
EMDV.TA,Emilia Devel,Emilia Devel,,מניות - ישראל,Stock,Yes
EMITF.TA,Elbit Imaging Ltd,Elbit Imaging Ltd,,מניות - ישראל,Stock,Yes
EMTC.TA,Elbit Med Tech,Elbit Med Tech,,מניות - ישראל,Stock,Yes
EMTC-M.TA,Elbit Medical Technologies Ltd,Elbit Medical Technologies Ltd,,מניות - ישראל,Stock,Yes
ENLT.TA,Enlight Renewable Energy Ltd,Enlight Renewable Energy Ltd,,מניות - ישראל,Stock,Yes
ENLV.TA,Enlivex Therapeutics Ltd,Enlivex Therapeutics Ltd,,מניות - ישראל,Stock,Yes
ENOG.TA,Energean Oil & Gas PLC,Energean Oil & Gas PLC,,מניות - ישראל,Stock,Yes
ENRG.TA,Energix Renewable Energies Ltd,Energix Renewable Energies Ltd,,מניות - ישראל,Stock,Yes
EPIT.TA,Epitomee Medical Ltd,Epitomee Medical Ltd,,מניות - ישראל,Stock,Yes
EQTL.TA,Equital,Equital,,מניות - ישראל,Stock,Yes
ERKA.TA,Erika Carmel-Tech Ltd,Erika Carmel-Tech Ltd,,מניות - ישראל,Stock,Yes
ESLT.TA,Elbit Systems Ltd,Elbit Systems Ltd,,מניות - ישראל,Stock,Yes
ETGA.TA,Etga Group Ltd,Etga Group Ltd,,מניות - ישראל,Stock,Yes
EVGN.TA,Evogene,Evogene,,מניות - ישראל,Stock,Yes
EXPO.TA,Export Inv,Export Inv,,מניות - ישראל,Stock,Yes
FBRT.TA,FMS Enterprises Migun Ltd,FMS Enterprises Migun Ltd,,מניות - ישראל,Stock,Yes
FEAT.TA,Feat Fund Investments Limited Partnership,Feat קרן Investments Limited Partnership,Feat קרן Investments Limited P,מניות - ישראל,Stock,No
FGAS.TA,Fire & Gas Detection Technologies Ltd,Fire & Gas Detection Technologies Ltd,Fire & Gas Detection Technolog,מניות - ישראל,Stock,Yes
FIBI.TA,First International Bank of Israel Ltd,First International Bank of Israel Ltd,First International Bank of Is,בנקים,Stock,Yes
FIBIH.TA,FIBI Holdings Ltd,בנק הבינלאומי Holdings Ltd,,מניות - ישראל,Stock,No
FLYS.TA,Flying Spark Ltd,Flying Spark Ltd,,מניות - ישראל,Stock,Yes
FNTS.TA,Fantasy Network Ltd,Fantasy Network Ltd,,מניות - ישראל,Stock,Yes
FORTY.TA,Formula,Formula,,מניות - ישראל,Stock,Yes
FOX.TA,Fox-Wizel Ltd,Fox-Wizel Ltd,,מניות - ישראל,Stock,Yes
FRDN.TA,Fridenson,Fridenson,,מניות - ישראל,Stock,Yes
FRSX.TA,Foresight Autonomous Holdings Ltd,Foresight Autonomous Holdings Ltd,Foresight Autonomous Holdings,מניות - ישראל,Stock,Yes
FTAL.TA,Fattal 1998 Holdings Ltd,Fattal 1998 Holdings Ltd,,מניות - ישראל,Stock,Yes
FVT.TA,Ai Conversation Systems Ltd,Ai Conversation Systems Ltd,,מניות - ישראל,Stock,Yes
G107.TA,Group 107 Ltd,Group 107 Ltd,,מניות - ישראל,Stock,Yes
GAGR.TA,Gaon Group Ltd,Gaon Group Ltd,,מניות - ישראל,Stock,Yes
GAMT.TA,Gamatronic Electronic Industries Ltd,Gamatronic Electronic Industries Ltd,Gamatronic Electronic Industri,מניות - ישראל,Stock,Yes
GCT.TA,G City Ltd,G City Ltd,,מניות - ישראל,Stock,Yes
GFC.TA,GFC Green Fields,GFC Green Fields,,מניות - ישראל,Stock,Yes
GFC-M.TA,G.F.C Green Fields Capital Ltd.,G.F.C Green Fields Capital Ltd.,G.F.C Green Fields Capital Ltd,מניות - ישראל,Stock,Yes
GIBUI.TA,Gibui Holdings Ltd,Gibui Holdings Ltd,,מניות - ישראל,Stock,Yes
GILT.TA,Gilat Satellite Networks Ltd,Gilat Satellite Networks Ltd,,מניות - ישראל,Stock,Yes
GIVO.TA,Givot Olam Oil Exploration - Limited Partnership (1993),Givot Olam Oil Exploration - Limited Partnership (1993),Givot Olam Oil Exploration - L,מניות - ישראל,Stock,Yes
GIVO-L.TA,GIVOT OLAM OIL EXP ILS1,GIVOT OLAM OIL EXP ILS1,,מניות - ישראל,Stock,Yes
GIX.TA,Gix Internet Ltd,Gix Internet Ltd,,מניות - ישראל,Stock,Yes
GKL.TA,Global Knafaim Leasing Ltd,Global Knafaim Leasing Ltd,,מניות - ישראל,Stock,Yes
GLPL.TA,Golan Plastic,Golan Plastic,,מניות - ישראל,Stock,Yes
GLRS.TA,Globrands Group Ltd,Globrands Group Ltd,,מניות - ישראל,Stock,Yes
GLTC.TA,Galileo Tech Ltd,Galileo Tech Ltd,,מניות - ישראל,Stock,Yes
GLTL.TA,Gilat Telecom Global Ltd,Gilat Telecom Global Ltd,,מניות - ישראל,Stock,Yes
GMLA.TA,Gamla Harel Residential Real-Estate Ltd,Gamla הראל Residential Real-Estate Ltd,Gamla הראל Residential Real-Es,מניות - ישראל,Stock,No
GNCL.TA,Gencell Ltd,Gencell Ltd,,מניות - ישראל,Stock,Yes
GNGR.TA,Ginegar,Ginegar,,מניות - ישראל,Stock,Yes
GNRS.TA,Generation Capital Ltd,Generation Capital Ltd,,מניות - ישראל,Stock,Yes
GODM.TA,GO.D.M Investments Ltd,GO.D.M Investments Ltd,,מניות - ישראל,Stock,Yes
GOHO.TA,Golden House,זהבen House,,מניות - ישראל,Stock,No
GOLF.TA,Golf & Co Group Ltd,Golf & Co Group Ltd,,מניות - ישראל,Stock,Yes
GOSS.TA,G1 Secure Solutions Ltd,G1 Secure Solutions Ltd,,מניות - ישראל,Stock,Yes
GOTO.TA,Goto Ltd,Goto Ltd,,מניות - ישראל,Stock,Yes
GRAC.TA,Grace Breeding Ltd,Grace Breeding Ltd,,מניות - ישראל,Stock,Yes
GSFI.TA,Gan Shmuel,Gan Shmuel,,מניות - ישראל,Stock,Yes
GVYM.TA,GavYam Lands Corp Ltd,GavYam Lands Corp Ltd,,מניות - ישראל,Stock,Yes
GZT.TA,Gazit Globe Ltd,Gazit Globe Ltd,,מניות - ישראל,Stock,Yes
HAMAT.TA,Hamat Group Ltd,Hamat Group Ltd,,מניות - ישראל,Stock,Yes
HARL.TA,Harel Insurance Investments & Financial Services Ltd,הראל Insurance Investments & Financial Services Ltd,הראל Insurance Investments & F,ביטוח,Stock,No
HDST.TA,Hadasit Bio,Hadasit Bio,,מניות - ישראל,Stock,Yes
HGG.TA,Hagag Group,Hagag Group,,מניות - ישראל,Stock,Yes
HGGE.TA,Hagag Europe Development ZF Ltd,Hagag אירופה Development ZF Ltd,Hagag אירופה Development ZF Lt,מניות - ישראל,Stock,No
HIPR.TA,Hiper Global Ltd,Hiper Global Ltd,,מניות - ישראל,Stock,Yes
HIVE.TA,Hive 2040 R&D Limited Partnership,Hive 2040 R&D Limited Partnership,Hive 2040 R&D Limited Partners,מניות - ישראל,Stock,Yes
HLAN.TA,Hilan Ltd,Hilan Ltd,,מניות - ישראל,Stock,Yes
HLMS.TA,Holmes Place International Ltd,Holmes Place International Ltd,,מניות - ישראל,Stock,Yes
HMAM.TA,Hamama,Hamama,,מניות - ישראל,Stock,Yes
HMGS.TA,Homebiogas Ltd,Homebiogas Ltd,,מניות - ישראל,Stock,Yes
HNMR.TA,Hanan Mor,Hanan Mor,,מניות - ישראל,Stock,Yes
HOD.TA,Hod Assaf Industries Ltd,Hod Assaf Industries Ltd,,מניות - ישראל,Stock,Yes
HRL-F109.TA,Harel Index Funds Ltd.- Harel Sal Tel Bond Yields Shekel,"הראל מדד Funds Ltd.- הראל סל Tel אג""ח Yields Shekel",הראל מדד Funds Ltd.- הראל סל T,"אג""ח",ETF,No
HRL-F11.TA,Harel Index Funds Ltd - SAL TA 90 ETF,"הראל מדד Funds Ltd - סל ת""א 90 קרן סל","הראל מדד Funds Ltd - סל ת""א 90",מניות - תל אביב 90,ETF,No
HRL-F12.TA,Harel Index Funds Ltd. - Harel Sal (4A) TA-Banks 5,הראל מדד Funds Ltd. - הראל סל (4A) TA-Banks 5,הראל מדד Funds Ltd. - הראל סל,מניות - ישראל,ETF,No
HRL-F13.TA,Harel Sal Tel-Bond 40 (00A),"הראל סל Tel-אג""ח 40 (00A)","הראל סל Tel-אג""ח 40","אג""ח",ETF,No
HRL-F14.TA,Harel Index Funds Ltd. - Harel Sal (4A) TA-SME60,הראל מדד Funds Ltd. - הראל סל (4A) TA-SME60,הראל מדד Funds Ltd. - הראל סל,מניות - ישראל,ETF,No
HRL-F15.TA,Harel Index Funds Ltd. - Harel Sal (4A) TA-Real Estate,הראל מדד Funds Ltd. - הראל סל (4A) TA-Real Estate,הראל מדד Funds Ltd. - הראל סל,מניות - ישראל,ETF,No
HRL-F16.TA,Harel Index Funds Ltd. - Harel Sal (4A) TA-Finance,הראל מדד Funds Ltd. - הראל סל (4A) TA-Finance,הראל מדד Funds Ltd. - הראל סל,מניות - ישראל,ETF,No
HRL-F2.TA,Harel Index Funds Ltd. - Harel Sal (4A) TA 125,"הראל מדד Funds Ltd. - הראל סל (4A) ת""א 125",הראל מדד Funds Ltd. - הראל סל,מניות - תל אביב 125,ETF,No
HRL-F204.TA,Harel Index Funds Ltd. - Harel Sal (4A) ISE Cyber Security Dollar-Hedged,הראל מדד Funds Ltd. - הראל סל (4A) ISE Cyber Security Dollar-Hedged,הראל מדד Funds Ltd. - הראל סל,מניות - ישראל,ETF,No
HRL-F205.TA,Harel Index Funds Ltd. - Harel Sal (4A) MSCI AC World Dollar-Hedged,הראל מדד Funds Ltd. - הראל סל (4A) MSCI AC World Dollar-Hedged,הראל מדד Funds Ltd. - הראל סל,מניות - בינלאומי,ETF,No
HRL-F207.TA,Harel Index Funds Ltd. - Harel Sal (4D) ISE Cyber Security,הראל מדד Funds Ltd. - הראל סל (4D) ISE Cyber Security,הראל מדד Funds Ltd. - הראל סל,מניות - ישראל,ETF,No
